time, Quad.IMU.AX
1.550016,0.377956
1.555017,0.205001
1.560017,0.541759
1.565017,0.662674
1.570017,0.395529
1.575018,-0.889378
1.580018,-0.184368
1.585018,-0.635681
1.590018,-0.040964
1.595019,-0.151581
1.600019,-0.760354
1.605019,0.025541
1.610019,0.026351
1.615019,0.121270
1.620020,-1.076461
1.625020,-0.129110
1.630020,-0.441915
1.635020,0.643903
1.640021,0.456675
1.645021,-0.236329
1.650021,-0.553923
1.655021,-0.192372
1.660022,0.205867
1.665022,0.446213
1.670022,0.728236
1.675022,0.663450
1.680022,0.712472
1.685023,0.491908
1.690023,0.649260
1.695023,-0.010908
1.700023,0.048783
1.705024,-0.679789
1.710024,0.204928
1.715024,-0.119454
1.720024,-0.838706
1.725025,-0.138671
1.730025,-0.739600
1.735025,0.058946
1.740025,-0.034390
1.745026,0.342113
1.750026,0.108054
1.755026,-0.372725
1.760026,0.183147
1.765026,-0.055660
1.770027,0.242632
1.775027,-0.696132
1.780027,0.010575
1.785027,0.160914
1.790028,0.255643
1.795028,-0.222557
1.800028,0.443206
1.805028,-0.573762
1.810029,0.022299
1.815029,0.325400
1.820029,0.525785
1.825029,-0.392471
1.830029,0.083689
1.835030,-0.389254
1.840030,-0.567670
1.845030,0.480967
1.850030,0.289417
1.855031,-0.203032
1.860031,-0.785508
1.865031,-0.284605
1.870031,0.529291
1.875032,0.354318
1.880032,0.068714
1.885032,-0.231796
1.890032,-0.843960
1.895033,0.068753
1.900033,-0.178193
1.905033,-1.207709
1.910033,0.383879
1.915033,0.070192
1.920034,-0.618432
1.925034,0.084776
1.930034,0.607775
1.935034,-0.077381
1.940035,0.197292
1.945035,-0.057117
1.950035,0.412123
1.955035,-0.100341
1.960036,-0.424368
1.965036,-0.610342
1.970036,0.513763
1.975036,-0.428475
1.980036,-0.249519
1.985037,0.361780
1.990037,-0.355421
1.995037,0.366413
2.000037,0.148574
2.005037,-0.459243
2.010037,0.308033
2.015036,0.157625
2.020036,0.170565
2.025036,0.172986
2.030035,-0.408608
2.035035,0.573142
2.040035,0.346783
2.045034,-0.496275
2.050034,0.056262
2.055033,0.825813
2.060033,-0.211774
2.065033,-0.330980
2.070032,-0.008317
2.075032,-0.263967
2.080032,-0.394989
2.085031,0.591245
2.090031,0.095880
2.095031,-0.552562
2.100030,0.315886
2.105030,-0.144462
2.110029,0.913958
2.115029,-0.687862
2.120029,-0.272980
2.125028,0.017677
2.130028,0.766860
2.135028,-0.311288
2.140027,-1.861929
2.145027,0.336395
2.150027,-0.216274
2.155026,0.170395
2.160026,0.514507
2.165025,-0.291030
2.170025,-0.685625
2.175025,-0.424066
2.180024,0.189565
2.185024,0.471984
2.190024,-0.057887
2.195023,0.312986
2.200023,-0.530889
2.205023,0.083112
2.210022,0.721998
2.215022,1.260691
2.220021,-0.275934
2.225021,-0.593547
2.230021,0.379221
2.235020,-0.014649
2.240020,-0.020069
2.245020,-0.560688
2.250019,-0.704322
2.255019,-0.955716
2.260019,-1.358258
2.265018,-0.200173
2.270018,0.176602
2.275017,0.304057
2.280017,0.741520
2.285017,-0.243973
2.290016,0.048708
2.295016,-0.722053
2.300016,0.907442
2.305015,0.059316
2.310015,0.787241
2.315015,0.362240
2.320014,0.995350
2.325014,0.178235
2.330014,-0.079648
2.335013,-0.158185
2.340013,-0.500732
2.345012,0.124456
2.350012,0.706089
2.355012,-0.408387
2.360011,0.278776
2.365011,-0.771542
2.370011,0.692308
2.375010,0.191528
2.380010,-0.083260
2.385010,-1.247621
2.390009,-0.379091
2.395009,0.018051
2.400008,0.105794
2.405008,-0.047519
